               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.017276,           0.0062076,            0.003609,             0.99522,             0.98645,             0.99399,              0.8865,           0.0069225,           0.0024254,           0.0011602,           0.0075448,           0.0075448,           0.0075448
                 126,            0.017214,           0.0063485,             0.00401,             0.99482,              0.9877,             0.99353,             0.88487,           0.0068146,           0.0024434,           0.0012016,            0.007525,            0.007525,            0.007525
                 127,            0.017064,           0.0063772,            0.004501,             0.99729,             0.98654,             0.99353,             0.88693,           0.0069946,           0.0024684,          0.00066436,           0.0075052,           0.0075052,           0.0075052
                 128,            0.017062,           0.0063816,           0.0033823,             0.99668,             0.99148,             0.99348,             0.88999,           0.0068994,           0.0024087,            0.000632,           0.0074854,           0.0074854,           0.0074854
                 129,             0.01697,           0.0062938,           0.0035509,             0.99655,             0.99045,             0.99431,             0.89224,           0.0067744,           0.0023773,           0.0006341,           0.0074656,           0.0074656,           0.0074656
                 130,            0.016756,           0.0061498,           0.0031515,             0.99633,             0.99244,             0.99491,             0.89016,           0.0067694,           0.0023652,          0.00065189,           0.0074458,           0.0074458,           0.0074458
                 131,            0.016817,           0.0060494,           0.0036031,             0.99588,             0.99445,             0.99424,             0.88886,           0.0068539,           0.0023807,           0.0006197,            0.007426,            0.007426,            0.007426
                 132,            0.016889,            0.006066,            0.003391,              0.9964,             0.99224,             0.99426,             0.88991,           0.0068715,           0.0024275,          0.00069805,           0.0074062,           0.0074062,           0.0074062
                 133,            0.017131,           0.0060509,           0.0034547,             0.99585,             0.99028,             0.99421,             0.89089,           0.0068166,           0.0024148,           0.0007871,           0.0073864,           0.0073864,           0.0073864
                 134,            0.016846,           0.0064302,           0.0038813,             0.99442,             0.99008,             0.99355,             0.88981,           0.0067655,           0.0023658,           0.0007769,           0.0073666,           0.0073666,           0.0073666
                 135,            0.017099,           0.0062625,           0.0041771,             0.99515,             0.99054,               0.994,             0.88673,           0.0068376,           0.0023862,          0.00087966,           0.0073468,           0.0073468,           0.0073468
                 136,            0.017431,           0.0063738,           0.0036664,             0.99167,             0.98938,             0.99365,              0.8898,           0.0067632,           0.0023973,           0.0010029,            0.007327,            0.007327,            0.007327
                 137,             0.01712,              0.0062,           0.0038522,             0.99308,             0.98982,             0.99421,             0.88602,           0.0068413,           0.0024046,          0.00074987,           0.0073072,           0.0073072,           0.0073072
                 138,            0.016548,           0.0062471,           0.0037747,             0.99056,             0.99433,             0.99418,             0.89246,           0.0067251,           0.0023751,          0.00070658,           0.0072874,           0.0072874,           0.0072874
                 139,            0.016796,           0.0061192,           0.0037241,             0.99518,             0.99371,             0.99354,             0.89062,           0.0067947,           0.0023193,          0.00074663,           0.0072676,           0.0072676,           0.0072676
                 140,            0.017113,           0.0061552,           0.0033771,             0.99208,             0.99256,             0.99358,             0.88989,           0.0067329,           0.0023294,           0.0006776,           0.0072478,           0.0072478,           0.0072478
                 141,            0.016722,           0.0062132,           0.0036529,              0.9943,             0.99098,             0.99367,             0.88844,           0.0068222,           0.0023475,          0.00068163,            0.007228,            0.007228,            0.007228
                 142,            0.017128,           0.0061773,           0.0038229,             0.99466,             0.99285,             0.99425,             0.89533,           0.0068017,           0.0023223,          0.00075425,           0.0072082,           0.0072082,           0.0072082
                 143,            0.016395,           0.0060393,            0.003453,             0.99324,             0.99379,             0.99421,              0.8959,           0.0066529,           0.0023109,           0.0007959,           0.0071884,           0.0071884,           0.0071884
                 144,            0.016335,           0.0061084,           0.0028731,             0.99551,             0.99184,             0.99421,             0.89437,           0.0066347,           0.0023336,          0.00059952,           0.0071686,           0.0071686,           0.0071686
